,year,month,unemployment,inflation,unemployment_lagging,inflation_lagging
64,2007,5,4.4,2.7,4.6,2.1
65,2007,6,4.6,2.7,4.5,2.4
66,2007,7,4.7,2.4,4.4,2.8
67,2007,8,4.6,2.0,4.5,2.6
68,2007,9,4.7,2.8,4.4,2.7
69,2007,10,4.7,3.5,4.6,2.7
70,2007,11,4.7,4.3,4.7,2.4
71,2007,12,5.0,4.1,4.6,2.0
72,2008,1,5.0,4.3,4.7,2.8
73,2008,2,4.9,4.0,4.7,3.5
74,2008,3,5.1,4.0,4.7,4.3
75,2008,4,5.0,3.9,5.0,4.1
76,2008,5,5.4,4.2,5.0,4.3
77,2008,6,5.6,5.0,4.9,4.0
78,2008,7,5.8,5.6,5.1,4.0
79,2008,8,6.1,5.4,5.0,3.9
80,2008,9,6.1,4.9,5.4,4.2
81,2008,10,6.5,3.7,5.6,5.0
82,2008,11,6.8,1.1,5.8,5.6
83,2008,12,7.3,0.1,6.1,5.4
84,2009,1,7.8,0.0,6.1,4.9
85,2009,2,8.3,0.2,6.5,3.7
86,2009,3,8.7,-0.4,6.8,1.1
87,2009,4,9.0,-0.7,7.3,0.1
88,2009,5,9.4,-1.3,7.8,0.0
89,2009,6,9.5,-1.4,8.3,0.2
90,2009,7,9.5,-2.1,8.7,-0.4
91,2009,8,9.6,-1.5,9.0,-0.7
92,2009,9,9.8,-1.3,9.4,-1.3
93,2009,10,10.0,-0.2,9.5,-1.4
94,2009,11,9.9,1.8,9.5,-2.1
95,2009,12,9.9,2.7,9.6,-1.5
96,2010,1,9.8,2.6,9.8,-1.3
97,2010,2,9.8,2.1,10.0,-0.2
98,2010,3,9.9,2.3,9.9,1.8
99,2010,4,9.9,2.2,9.9,2.7
100,2010,5,9.6,2.0,9.8,2.6
101,2010,6,9.4,1.1,9.8,2.1
102,2010,7,9.4,1.2,9.9,2.3
103,2010,8,9.5,1.1,9.9,2.2
104,2010,9,9.5,1.1,9.6,2.0
105,2010,10,9.4,1.2,9.4,1.1
106,2010,11,9.8,1.1,9.4,1.2
107,2010,12,9.3,1.5,9.5,1.1
108,2011,1,9.1,1.6,9.5,1.1
109,2011,2,9.0,2.1,9.4,1.2
110,2011,3,9.0,2.7,9.8,1.1
111,2011,4,9.1,3.2,9.3,1.5
112,2011,5,9.0,3.6,9.1,1.6
113,2011,6,9.1,3.6,9.0,2.1
114,2011,7,9.0,3.6,9.0,2.7
115,2011,8,9.0,3.8,9.1,3.2
116,2011,9,9.0,3.9,9.0,3.6
117,2011,10,8.8,3.5,9.1,3.6
118,2011,11,8.6,3.4,9.0,3.6
119,2011,12,8.5,3.0,9.0,3.8
120,2012,1,8.3,2.9,9.0,3.9
121,2012,2,8.3,2.9,8.8,3.5
122,2012,3,8.2,2.7,8.6,3.4
123,2012,4,8.2,2.3,8.5,3.0
124,2012,5,8.2,1.7,8.3,2.9
125,2012,6,8.2,1.7,8.3,2.9
126,2012,7,8.2,1.4,8.2,2.7
127,2012,8,8.1,1.7,8.2,2.3
128,2012,9,7.8,2.0,8.2,1.7
129,2012,10,7.8,2.2,8.2,1.7
130,2012,11,7.7,1.8,8.2,1.4
131,2012,12,7.9,1.7,8.1,1.7
132,2013,1,8.0,1.6,7.8,2.0
133,2013,2,7.7,2.0,7.8,2.2
134,2013,3,7.5,1.5,7.7,1.8
135,2013,4,7.6,1.1,7.9,1.7
136,2013,5,7.5,1.4,8.0,1.6
137,2013,6,7.5,1.8,7.7,2.0
138,2013,7,7.3,2.0,7.5,1.5
139,2013,8,7.2,1.5,7.6,1.1
140,2013,9,7.2,1.2,7.5,1.4
141,2013,10,7.2,1.0,7.5,1.8
142,2013,11,6.9,1.2,7.3,2.0
143,2013,12,6.7,1.5,7.2,1.5
144,2014,1,6.6,1.6,7.2,1.2
145,2014,2,6.7,1.1,7.2,1.0
146,2014,3,6.7,1.5,6.9,1.2
147,2014,4,6.2,2.0,6.7,1.5
148,2014,5,6.3,2.1,6.6,1.6
149,2014,6,6.1,2.1,6.7,1.1
150,2014,7,6.2,2.0,6.7,1.5
151,2014,8,6.1,1.7,6.2,2.0
152,2014,9,5.9,1.7,6.3,2.1
153,2014,10,5.7,1.7,6.1,2.1
154,2014,11,5.8,1.3,6.2,2.0
155,2014,12,5.6,0.8,6.1,1.7
156,2015,1,5.7,-0.1,5.9,1.7
157,2015,2,5.5,0.0,5.7,1.7
158,2015,3,5.4,-0.1,5.8,1.3
159,2015,4,5.4,-0.2,5.6,0.8
160,2015,5,5.6,0.0,5.7,-0.1
161,2015,6,5.3,0.1,5.5,0.0
162,2015,7,5.2,0.2,5.4,-0.1
163,2015,8,5.1,0.2,5.4,-0.2
164,2015,9,5.0,0.0,5.6,0.0
165,2015,10,5.0,0.2,5.3,0.1
166,2015,11,5.1,0.5,5.2,0.2
167,2015,12,5.0,0.7,5.1,0.2
168,2016,1,4.8,1.4,5.0,0.0
169,2016,2,4.9,1.0,5.0,0.2
170,2016,3,5.0,0.9,5.1,0.5
171,2016,4,5.1,1.1,5.0,0.7
172,2016,5,4.8,1.0,4.8,1.4
173,2016,6,4.9,1.0,4.9,1.0
174,2016,7,4.8,0.8,5.0,0.9
175,2016,8,4.9,1.1,5.1,1.1
176,2016,9,5.0,1.5,4.8,1.0
177,2016,10,4.9,1.6,4.9,1.0
178,2016,11,4.7,1.7,4.8,0.8
179,2016,12,4.7,2.1,4.9,1.1
180,2017,1,4.7,2.5,5.0,1.5
181,2017,2,4.6,2.7,4.9,1.6
182,2017,3,4.4,2.4,4.7,1.7
183,2017,4,4.4,2.2,4.7,2.1
184,2017,5,4.4,1.9,4.7,2.5
185,2017,6,4.3,1.6,4.6,2.7
186,2017,7,4.3,1.7,4.4,2.4
187,2017,8,4.4,1.9,4.4,2.2
188,2017,9,4.3,2.2,4.4,1.9
189,2017,10,4.2,2.0,4.3,1.6
190,2017,11,4.2,2.2,4.3,1.7
191,2017,12,4.1,2.1,4.4,1.9
